;Win Rate;Win Rate;Win Rate;Pick Rate;Pick Rate;Pick Rate
;Start;Current;Change;Start;Current;Change
Dark Seer;52.24%;53.80%;+1.56%;1.95%;2.00%;+0.06%
Sven;46.62%;48.10%;+1.48%;4.03%;3.97%;-0.07%
Lycan;46.95%;48.23%;+1.28%;1.02%;0.96%;-0.05%
Shadow Demon;46.05%;47.29%;+1.24%;2.07%;2.21%;+0.15%
Ember Spirit;49.43%;50.36%;+0.93%;6.05%;6.84%;+0.79%
Chen;47.28%;48.18%;+0.89%;1.00%;0.95%;-0.05%
Phoenix;49.05%;49.89%;+0.84%;3.87%;3.81%;-0.06%
Techies;49.14%;49.96%;+0.82%;6.19%;6.36%;+0.17%
Tidehunter;48.75%;49.56%;+0.81%;4.53%;4.56%;
Mars;46.18%;46.91%;+0.73%;5.41%;5.14%;-0.27%
Tinker;46.55%;47.25%;+0.70%;3.07%;3.09%;
Underlord;52.84%;53.52%;+0.69%;3.00%;2.94%;-0.05%
Storm Spirit;48.44%;49.11%;+0.67%;6.64%;6.75%;+0.11%
Enchantress;44.99%;45.65%;+0.67%;2.88%;2.91%;
Elder Titan;49.70%;50.35%;+0.66%;1.06%;1.08%;
Broodmother;44.68%;45.29%;+0.61%;1.70%;1.38%;-0.32%
Clinkz;50.72%;51.28%;+0.57%;9.67%;9.40%;-0.26%
Juggernaut;49.73%;50.26%;+0.53%;14.72%;14.95%;+0.23%
Morphling;45.97%;46.46%;+0.49%;9.26%;9.02%;-0.23%
Brewmaster;49.41%;49.89%;+0.48%;0.98%;1.03%;+0.05%
Tiny;45.84%;46.31%;+0.47%;5.99%;5.34%;-0.65%
Templar Assassin;45.04%;45.49%;+0.45%;5.21%;4.83%;-0.38%
Dazzle;49.25%;49.67%;+0.42%;8.38%;8.48%;+0.10%
Clockwerk;49.99%;50.40%;+0.41%;3.42%;3.38%;
Viper;52.49%;52.90%;+0.41%;12.68%;12.95%;+0.27%
Oracle;53.01%;53.40%;+0.39%;4.02%;4.33%;+0.31%
Pudge;49.60%;49.94%;+0.34%;28.24%;28.27%;
Abaddon;55.51%;55.85%;+0.34%;12.96%;13.85%;+0.88%
Naga Siren;49.12%;49.44%;+0.32%;1.96%;2.16%;+0.20%
Earthshaker;49.72%;50.02%;+0.30%;12.37%;12.11%;-0.26%
Grimstroke;49.09%;49.37%;+0.28%;8.55%;8.35%;-0.20%
Queen of Pain;47.27%;47.54%;+0.27%;7.49%;7.64%;+0.14%
Disruptor;49.15%;49.42%;+0.27%;5.90%;5.98%;+0.08%
Doom;47.22%;47.46%;+0.24%;3.60%;3.69%;+0.09%
Rubick;45.58%;45.81%;+0.23%;14.36%;14.25%;-0.11%
Outworld Destroyer;52.69%;52.91%;+0.22%;12.00%;11.28%;-0.73%
Enigma;48.15%;48.37%;+0.22%;2.82%;2.97%;+0.15%
Slardar;52.71%;52.92%;+0.21%;15.47%;14.93%;-0.54%
Venomancer;51.91%;52.11%;+0.20%;9.17%;9.31%;+0.14%
Zeus;52.05%;52.25%;+0.19%;15.25%;15.78%;+0.53%
Luna;49.51%;49.71%;+0.19%;10.04%;9.87%;-0.18%
Muerta;46.44%;46.59%;+0.15%;4.89%;4.61%;-0.27%
Necrophos;51.15%;51.29%;+0.14%;12.84%;13.17%;+0.32%
Pugna;48.03%;48.15%;+0.12%;7.06%;6.93%;-0.12%
Sniper;49.94%;50.04%;+0.10%;21.54%;21.92%;+0.38%
Hoodwink;49.93%;50.01%;+0.08%;8.59%;8.79%;+0.20%
Slark;49.62%;49.70%;+0.08%;14.60%;14.20%;-0.40%
Dawnbreaker;49.64%;49.71%;+0.07%;4.34%;4.33%;
Arc Warden;56.00%;56.07%;+0.07%;6.16%;6.54%;+0.38%
Medusa;51.21%;51.28%;+0.07%;4.65%;4.55%;-0.10%
Keeper of the Light;46.02%;46.08%;+0.06%;2.36%;2.24%;-0.12%
Winter Wyvern;50.66%;50.70%;;3.28%;3.57%;+0.29%
Ogre Magi;51.05%;51.09%;;14.84%;15.06%;+0.22%
Omniknight;47.31%;47.33%;;4.14%;4.32%;+0.17%
Undying;51.17%;51.19%;;7.58%;7.57%;
Primal Beast;48.28%;48.30%;;4.73%;4.52%;-0.21%
Shadow Fiend;48.76%;48.76%;;11.49%;11.56%;+0.07%
Death Prophet;54.32%;54.32%;;7.08%;7.50%;+0.42%
Crystal Maiden;50.02%;50.02%;;12.67%;13.15%;+0.48%
Puck;48.64%;48.64%;;7.13%;6.74%;-0.38%
Lifestealer;49.75%;49.74%;;8.80%;8.72%;-0.08%
Lion;48.98%;48.96%;;23.88%;24.58%;+0.70%
Nature's Prophet;48.64%;48.62%;;17.21%;17.11%;-0.10%
Warlock;52.78%;52.76%;;7.59%;7.77%;+0.18%
Drow Ranger;51.85%;51.83%;;14.34%;14.62%;+0.28%
Kunkka;49.90%;49.88%;;6.24%;5.97%;-0.27%
Legion Commander;50.67%;50.63%;;16.06%;16.12%;+0.06%
Shadow Shaman;52.03%;51.98%;-0.06%;14.71%;14.59%;-0.11%
Phantom Lancer;51.12%;51.05%;-0.06%;8.24%;8.36%;+0.12%
Invoker;48.29%;48.23%;-0.06%;15.77%;15.63%;-0.14%
Io;50.28%;50.21%;-0.07%;3.25%;3.25%;
Dark Willow;48.40%;48.33%;-0.07%;5.31%;5.32%;
Meepo;55.14%;55.07%;-0.08%;3.18%;3.75%;+0.56%
Faceless Void;51.48%;51.39%;-0.09%;17.32%;17.22%;-0.10%
Silencer;51.56%;51.47%;-0.10%;12.31%;12.47%;+0.15%
Bloodseeker;49.33%;49.23%;-0.10%;4.09%;3.91%;-0.18%
Magnus;48.53%;48.41%;-0.12%;8.91%;9.43%;+0.51%
Monkey King;44.76%;44.64%;-0.12%;7.08%;6.94%;-0.14%
Phantom Assassin;45.38%;45.25%;-0.13%;15.44%;14.99%;-0.45%
Ursa;48.83%;48.69%;-0.14%;7.33%;7.17%;-0.16%
Earth Spirit;47.44%;47.29%;-0.14%;2.19%;2.16%;
Riki;52.27%;52.12%;-0.14%;7.00%;7.26%;+0.26%
Jakiro;52.64%;52.50%;-0.14%;13.90%;13.76%;-0.14%
Bristleback;50.50%;50.36%;-0.14%;7.86%;7.97%;+0.11%
Timbersaw;50.50%;50.34%;-0.16%;7.15%;6.74%;-0.42%
Windranger;46.50%;46.34%;-0.16%;11.56%;12.32%;+0.76%
Night Stalker;50.33%;50.14%;-0.19%;4.06%;4.12%;+0.06%
Beastmaster;45.64%;45.44%;-0.19%;0.90%;0.84%;-0.06%
Skywrath Mage;50.15%;49.95%;-0.20%;8.96%;8.96%;
Razor;48.53%;48.32%;-0.21%;4.97%;5.18%;+0.21%
Lina;46.12%;45.89%;-0.23%;14.25%;14.08%;-0.17%
Lone Druid;51.45%;51.22%;-0.23%;3.06%;3.03%;
Gyrocopter;47.73%;47.50%;-0.23%;6.92%;6.60%;-0.31%
Huskar;48.94%;48.69%;-0.25%;6.27%;6.26%;
Witch Doctor;54.61%;54.35%;-0.26%;22.75%;22.62%;-0.13%
Axe;52.66%;52.39%;-0.27%;15.89%;15.74%;-0.16%
Leshrac;48.37%;48.09%;-0.28%;3.21%;1.95%;-1.26%
Void Spirit;48.71%;48.35%;-0.36%;3.26%;3.19%;-0.07%
Wraith King;52.53%;52.16%;-0.36%;13.05%;12.74%;-0.31%
Chaos Knight;47.13%;46.75%;-0.38%;4.86%;4.56%;-0.29%
Ancient Apparition;50.90%;50.52%;-0.38%;8.29%;8.24%;-0.05%
Spirit Breaker;48.78%;48.37%;-0.40%;20.88%;19.84%;-1.04%
Bounty Hunter;48.48%;48.08%;-0.41%;14.52%;13.66%;-0.86%
Weaver;48.00%;47.58%;-0.42%;8.70%;8.38%;-0.33%
Bane;50.19%;49.74%;-0.45%;2.50%;2.99%;+0.49%
Lich;51.84%;51.38%;-0.45%;9.51%;9.58%;+0.07%
Treant Protector;51.62%;51.15%;-0.47%;5.56%;5.42%;-0.14%
Tusk;46.41%;45.87%;-0.54%;5.73%;5.48%;-0.25%
Spectre;51.39%;50.81%;-0.58%;13.04%;12.82%;-0.22%
Nyx Assassin;51.16%;50.53%;-0.64%;8.49%;8.92%;+0.43%
Centaur Warrunner;51.71%;51.04%;-0.66%;6.31%;6.44%;+0.12%
Vengeful Spirit;53.57%;52.88%;-0.70%;11.99%;12.61%;+0.62%
Dragon Knight;49.48%;48.76%;-0.71%;5.50%;5.50%;
Anti-Mage;52.05%;51.34%;-0.72%;14.54%;14.30%;-0.23%
Batrider;43.81%;42.94%;-0.87%;1.47%;1.16%;-0.31%
Mirana;48.05%;47.12%;-0.93%;5.90%;6.16%;+0.26%
Alchemist;46.73%;45.79%;-0.95%;2.85%;2.79%;-0.07%
Pangolier;44.62%;43.60%;-1.01%;2.32%;2.15%;-0.17%
Snapfire;45.63%;44.59%;-1.05%;4.94%;6.08%;+1.14%
Troll Warlord;52.37%;51.32%;-1.05%;5.31%;5.33%;
Terrorblade;45.08%;43.97%;-1.11%;1.66%;1.71%;+0.05%
Sand King;55.31%;54.17%;-1.15%;6.90%;6.91%;
Marci;49.06%;47.89%;-1.17%;3.50%;3.77%;+0.27%
Visage;51.22%;49.86%;-1.37%;1.52%;1.42%;-0.11%
